n1,n2,score
president virgilio barco,dr. virgilio barco,1.00
president virgilio barco,liberal president virgilio barco,1.00
president virgilio barco,president virgilio barco vargas,0.33
president virgilio barco vargas,colombia's president virgilio barco,0.32
president virgilio barco vargas,colombian leader virgilio barco,0.32
president virgilio barco vargas,colombian president virgilio barco,0.32
president virgilio barco vargas,colombian president virgilio barco vargas,1.00
president virgilio barco vargas,dr. virgilio barco,0.32
president virgilio barco vargas,liberal president virgilio barco,0.32
president virgilio barco vargas,president barco vargas,0.16
president virgilio barco vargas,president virgilio barco,0.32
president william walker,ambassador william walker,1.00
president william walker,mr ambassador william walker,1.00
president william walker,mr william walker,1.00
president william walker,u.s. ambassador william walker,1.00
president-elect alfredo cristiani,mr alfredo cristiani,1.00
president-elect alfredo cristiani,president alfredo cristiani,1.00
president-elect alfredo cristiani,president alfredo cristiano,0.03
president-elect alfredo cristiani,rightist alfredo cristiani,1.00
president-elect alfredo cristiani,salvadoran president alfredo cristiani,1.00
president-elect alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
president-elect alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
president-elect alfredo cristiani,salvadoran president-elect alfredo cristiani,1.00
president-elect alfredo cristiani,salvdoran president alfredo cristiani,1.00
president-elect cristiani,mr cristiani,1.00
president-elect cristiani,mr. cristiani,1.00
president-elect cristiani,president cristiani,1.00
president-elect cristiani,pressure president cristiani,1.00
president-elect cristiani,salvadoran president cristiani,1.00
president-elect cristiani,the magnificent job president cristiani,1.00
presidential adviser rafael pardo,dr. rafael pardo,1.00
presidential adviser rafael pardo,dr. rafael pardo rueda,0.13
presidential adviser rafael pardo,presidential adviser rafael pardo rueda,0.13
presidential adviser rafael pardo rueda,dr. rafael pardo,0.09
presidential adviser rafael pardo rueda,dr. rafael pardo rueda,1.00
presidential adviser rafael pardo rueda,presidential adviser rafael pardo,0.09
pressure president cristiani,mr cristiani,1.00
pressure president cristiani,mr. cristiani,1.00
pressure president cristiani,president cristiani,1.00
pressure president cristiani,president-elect cristiani,1.00
pressure president cristiani,salvadoran president cristiani,1.00
pressure president cristiani,the magnificent job president cristiani,1.00
priest ignacio ellacuria,central america university rector ignacio ellacuria,1.00
priest ignacio ellacuria,central american university rector ignacio ellacuria,1.00
priest ignacio ellacuria,dr ignacio ellacuria,1.00
priest ignacio ellacuria,father ignacio ellacuria,1.00
priest ignacio ellacuria,father jose ignacio ellacuria,0.31
priest ignacio ellacuria,uca rector ignacio ellacuria,1.00
prime minister armando villanueva,prime minister armando villanueva del campo,1.00
prime minister armando villanueva del campo,prime minister armando villanueva,1.00
prime minister gonzalez,commander gonzalez,1.00
prime minister gonzalez,fmln commander gonzalez,1.00
prime minister gonzalez,german gonzalez ramirez,1.00
prime minister gonzalez,judge gonzalez,1.00
prime minister luis alberto sanchez,senator luis alberto sanchez,1.00
professor david leslie kent,professor davis leslie kent,1.00
professor davis leslie kent,professor david leslie kent,1.00
rebel commander shafik handal,another fmln leader shafick handal,0.43
rebel commander shafik handal,commander jorge shafik handal,1.00
rebel commander shafik handal,commander shafik jorge handal,1.00
rector jesuit francisco estrada,jesuist francisco estrada,1.00
rector jesuit francisco estrada,uca rector francisco estrada,1.00
reporter roberto navas,journalist roberto navas,1.00
representative carlos ruig,leader carlos ruig,1.00
republican ronald reagan,u.s. president ronald reagan,1.00
retired colonel carlos humberto figueroa,deputy interior minister colonel carlos figueroa,1.00
retired general enrique ruiz,general enrique ruiz,1.00
retired general gustavo alvarez martinez,general gustavo alvarez,0.17
retired general gustavo alvarez martinez,general gustavo alvarez martinez,1.00
reverand edgar palacios,reverend edgar palacios,1.00
reverend edgar palacios,reverand edgar palacios,1.00
rightist alfredo cristiani,mr alfredo cristiani,1.00
rightist alfredo cristiani,president alfredo cristiani,1.00
rightist alfredo cristiani,president alfredo cristiano,0.03
rightist alfredo cristiani,president-elect alfredo cristiani,1.00
rightist alfredo cristiani,salvadoran president alfredo cristiani,1.00
rightist alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
rightist alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
rightist alfredo cristiani,salvadoran president-elect alfredo cristiani,1.00
rightist alfredo cristiani,salvdoran president alfredo cristiani,1.00
rightist deputy d'aubuisson,maj d'aubuisson,1.00
rightist deputy d'aubuisson,major d'aubuisson,1.00
rightist leader roberto d'aubuisson,extreme right-wing deputy roberto d'aubuisson,1.00
rightist leader roberto d'aubuisson,former major roberto d'aubuisson,1.00
rightist leader roberto d'aubuisson,maj roberto d'aubuisson,1.00
rightist leader roberto d'aubuisson,major roberto d'aubuission,0.02
rightist leader roberto d'aubuisson,major roberto d'aubuisson,1.00
rightist leader roberto d'aubuisson,major roberto d'aubuisson arrieta,0.25
rightist leader roberto d'aubuisson,ultra-rightwing deputy roberto d'aubuisson,1.00
"rodriguez gacha, alias ""the mexican,""","colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.08
"rodriguez gacha, alias ""the mexican,""",colombian drug trafficker rodriguez gacha,0.44
"rodriguez gacha, alias ""the mexican,""",drug baron rodriguez gacha,0.44
"rodriguez gacha, alias ""the mexican,""",drug kingping gonzalo rodriguez gacha (alias the mexican),0.65
"rodriguez gacha, alias ""the mexican,""","drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.65
"rodriguez gacha, alias ""the mexican,""","gonzalo rodriguez gacha alias ""the mexican,""",0.65
"rodriguez gacha, alias ""the mexican,""","gonzalo rodriguez gacha, a.k.a the mexican",0.65
"rodriguez gacha, alias ""the mexican,""","gonzalo rodriguez gacha, alias ""el mejicano,""",0.08
"rodriguez gacha, alias ""the mexican,""","gonzalo rodriguez gacha, alias the mexican",0.65
"rodriguez gacha, alias ""the mexican,""","gonzalo rodriguez gacha, also known as ""el mexicano,""",0.08
"rodriguez gacha, alias ""the mexican,""","rodriguez gacha, alias the mexican",1.00
"rodriguez gacha, alias the mexican","colombian drug trafficker gonzalo rodriguez gacha, otherwise known as ""el mexicano,""",0.08
"rodriguez gacha, alias the mexican",colombian drug trafficker rodriguez gacha,0.44
"rodriguez gacha, alias the mexican",drug baron rodriguez gacha,0.44
"rodriguez gacha, alias the mexican",drug kingping gonzalo rodriguez gacha (alias the mexican),0.65
"rodriguez gacha, alias the mexican","drug trafficker jose gonzalo rodriguez gacha, aka ""the mexican,""",0.65
"rodriguez gacha, alias the mexican","gonzalo rodriguez gacha alias ""the mexican,""",0.65
"rodriguez gacha, alias the mexican","gonzalo rodriguez gacha, a.k.a the mexican",0.65
"rodriguez gacha, alias the mexican","gonzalo rodriguez gacha, alias ""el mejicano,""",0.08
"rodriguez gacha, alias the mexican","gonzalo rodriguez gacha, alias the mexican",0.65
"rodriguez gacha, alias the mexican","gonzalo rodriguez gacha, also known as ""el mexicano,""",0.08
"rodriguez gacha, alias the mexican","rodriguez gacha, alias ""the mexican,""",1.00
salvadoran archbishop arturo rivera damas,archbishop arturo rivera,0.39
salvadoran archbishop arturo rivera damas,archbishop arturo rivera y damas,1.00
salvadoran archbishop arturo rivera damas,monsignor arturo rivera y damas,1.00
salvadoran archbishop arturo rivera damas,msgr arturo rivera y damas,1.00
salvadoran archbishop oscar arnulfo romero,archbishop oscar arnulfo romero,1.00
salvadoran archbishop oscar arnulfo romero,monsignor arnulfo romero,0.20
salvadoran archbishop oscar arnulfo romero,monsignor oscar arnulfo romero,1.00
salvadoran archbishop oscar arnulfo romero,msgr arnulfo romero,0.20
salvadoran archbishop oscar arnulfo romero,msgr oscar arnulfo romero,1.00
salvadoran armed forces colonel rene emilio ponce,col emilio ponce,0.22
salvadoran armed forces colonel rene emilio ponce,col rene emilio ponce,1.00
salvadoran armed forces colonel rene emilio ponce,col. rene emilio ponce,1.00
salvadoran armed forces colonel rene emilio ponce,colonel rene emilio,0.13
salvadoran armed forces colonel rene emilio ponce,colonel rene emilio ponce,1.00
salvadoran armed forces colonel rene emilio ponce,colonel rene ponce,0.21
salvadoran armed forces colonel rene emilio ponce,officer colonel rene emilio ponce,1.00
salvadoran attorney general dr roberto garcia alvarado,attorney general garcia alvarado,0.19
salvadoran attorney general dr roberto garcia alvarado,attorney general roberto garcia,0.06
salvadoran attorney general dr roberto garcia alvarado,attorney general roberto garcia alvarado,1.00
salvadoran attorney general dr roberto garcia alvarado,attorney general roberto garcial alvarado,0.18
salvadoran attorney general dr roberto garcia alvarado,salvadoran attorney general roberto garcia,0.06
salvadoran attorney general dr roberto garcia alvarado,salvadoran attorney general roberto garcia alvarado,1.00
salvadoran attorney general mauricio eduardo colorado,attorney general mauricio colorado,0.19
salvadoran attorney general mauricio eduardo colorado,general prosecutor dr mauricio eduardo colorado,1.00
salvadoran attorney general roberto garcia,attorney general roberto garcia,1.00
salvadoran attorney general roberto garcia,attorney general roberto garcia alvarado,0.07
salvadoran attorney general roberto garcia,attorney general roberto garcial alvarado,0.03
salvadoran attorney general roberto garcia,salvadoran attorney general dr roberto garcia alvarado,0.07
salvadoran attorney general roberto garcia,salvadoran attorney general roberto garcia alvarado,0.07
salvadoran attorney general roberto garcia alvarado,attorney general garcia alvarado,0.19
salvadoran attorney general roberto garcia alvarado,attorney general roberto garcia,0.06
salvadoran attorney general roberto garcia alvarado,attorney general roberto garcia alvarado,1.00
salvadoran attorney general roberto garcia alvarado,attorney general roberto garcial alvarado,0.18
salvadoran attorney general roberto garcia alvarado,salvadoran attorney general dr roberto garcia alvarado,1.00
salvadoran attorney general roberto garcia alvarado,salvadoran attorney general roberto garcia,0.06
salvadoran colonel ciro lopez,col ciro lopez roque,1.00
salvadoran colonel guillermo benavides,col guillermo alfredo benavides,0.15
salvadoran colonel guillermo benavides,col guillermo benavides,1.00
salvadoran colonel guillermo benavides,colonel guillermo alfredo benavides moreno,0.15
salvadoran colonel guillermo benavides,colonel guillermo benavides,1.00
salvadoran colonel sigifredo ochoa perez,col. ochoa perez,0.10
salvadoran colonel sigifredo ochoa perez,col. sigifredo ochoa perez,1.00
salvadoran colonel sigifredo ochoa perez,colonel ochoa perez,0.10
salvadoran colonel sigifredo ochoa perez,colonel sigifredo ochoa perez,1.00
salvadoran colonel sigifredo ochoa perez,former army colonel sigifredo ochoa perez,1.00
salvadoran colonel sigifredo ochoa perez,nationalist republican alliance (arena) leader sigifredo ochoa perez,1.00
salvadoran communications minister mauricio sandoval,communications minister mauricio sandoval,1.00
salvadoran communications minister mauricio sandoval,former captain mauricio mena sandoval,0.20
salvadoran foreign minister dr manuel pacas castro,salvadoran foreign minister jose manuel pacas castro,1.00
salvadoran foreign minister dr manuel pacas castro,salvadoran foreign minister manuel pacas,0.81
salvadoran foreign minister jose manuel pacas,salvadoran foreign minister jose manuel pacas castro,1.00
salvadoran foreign minister jose manuel pacas,salvadoran foreign minister manuel pacas,0.91
salvadoran foreign minister jose manuel pacas castro,salvadoran foreign minister dr manuel pacas castro,1.00
salvadoran foreign minister jose manuel pacas castro,salvadoran foreign minister jose manuel pacas,0.89
salvadoran foreign minister jose manuel pacas castro,salvadoran foreign minister manuel pacas,0.81
salvadoran foreign minister manuel pacas,salvadoran foreign minister dr manuel pacas castro,1.00
salvadoran foreign minister manuel pacas,salvadoran foreign minister jose manuel pacas,1.00
salvadoran foreign minister manuel pacas,salvadoran foreign minister jose manuel pacas castro,1.00
salvadoran justice minister oscar santamaria,justice minister dr oscar alfredo santamaria,0.20
salvadoran justice minister oscar santamaria,justice minister oscar alfredo santamaria,0.20
salvadoran justice minister oscar santamaria,justice minister oscar santamaria,1.00
salvadoran leftist leader hector oqueli colindres,dr. hector oqueli,0.21
salvadoran leftist leader hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
salvadoran leftist leader hector oqueli colindres,mnr leader hector oqueli,0.21
salvadoran leftist leader hector oqueli colindres,salvadoran opposition leader hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,salvadoran political leader hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
salvadoran leftist leader hector oqueli colindres,salvadoran social democratic leader hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,salvadoran social democratic politician hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,secretary general hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,social democratic leader hector oqueli,0.21
salvadoran leftist leader hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
salvadoran leftist leader hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,dr. hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,mnr leader hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,salvadoran leftist leader hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,salvadoran political leader hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,salvadoran social democratic leader hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,salvadoran social democratic politician hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,secretary general hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,social democratic leader hector oqueli,0.21
salvadoran opposition leader hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
salvadoran opposition leader hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
salvadoran political leader hector oqueli colindres,dr. hector oqueli,0.21
salvadoran political leader hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
salvadoran political leader hector oqueli colindres,mnr leader hector oqueli,0.21
salvadoran political leader hector oqueli colindres,salvadoran leftist leader hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,salvadoran opposition leader hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
salvadoran political leader hector oqueli colindres,salvadoran social democratic leader hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,salvadoran social democratic politician hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,secretary general hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,social democratic leader hector oqueli,0.21
salvadoran political leader hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
salvadoran political leader hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
salvadoran presidency minister antonio rodriguez porth,dr antonio rodriguez porth,1.00
salvadoran presidency minister antonio rodriguez porth,dr jose antonio rodriguez porth,0.21
salvadoran presidency minister antonio rodriguez porth,dr rodriguez porth,0.19
salvadoran presidency minister antonio rodriguez porth,minister rodriguez porth,0.19
salvadoran presidency minister antonio rodriguez porth,old presidency minister antonio rodriguez porth,1.00
salvadoran presidency minister antonio rodriguez porth,presidency minister antonio rodriguez porth,1.00
salvadoran presidency minister antonio rodriguez porth,presidency minister dr antonio rodriguez porth,1.00
salvadoran presidency minister antonio rodriguez porth,presidency minister jose antonio rodriguez porth,0.21
salvadoran presidency minister antonio rodriguez porth,salvadoran presidency minister jose antonio rodriguez porth,0.21
salvadoran presidency minister jose antonio rodriguez porth,dr antonio rodriguez porth,0.20
salvadoran presidency minister jose antonio rodriguez porth,dr jose antonio rodriguez porth,1.00
salvadoran presidency minister jose antonio rodriguez porth,dr rodriguez porth,0.18
salvadoran presidency minister jose antonio rodriguez porth,minister rodriguez porth,0.18
salvadoran presidency minister jose antonio rodriguez porth,old presidency minister antonio rodriguez porth,0.20
salvadoran presidency minister jose antonio rodriguez porth,presidency minister antonio rodriguez porth,0.20
salvadoran presidency minister jose antonio rodriguez porth,presidency minister dr antonio rodriguez porth,0.20
salvadoran presidency minister jose antonio rodriguez porth,presidency minister jose antonio rodriguez porth,1.00
salvadoran presidency minister jose antonio rodriguez porth,salvadoran presidency minister antonio rodriguez porth,0.20
salvadoran presidency minister juan antonio martinez,lieutenant colonel juan antonio martinez varela,1.00
salvadoran presidency minister juan antonio martinez,presidency minister juan martinez,0.72
salvadoran president alfredo cristiani,mr alfredo cristiani,1.00
salvadoran president alfredo cristiani,president alfredo cristiani,1.00
salvadoran president alfredo cristiani,president alfredo cristiano,0.03
salvadoran president alfredo cristiani,president-elect alfredo cristiani,1.00
salvadoran president alfredo cristiani,rightist alfredo cristiani,1.00
salvadoran president alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
salvadoran president alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
salvadoran president alfredo cristiani,salvadoran president-elect alfredo cristiani,1.00
salvadoran president alfredo cristiani,salvdoran president alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),mr alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),president alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),president alfredo cristiano,0.03
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),president-elect alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),rightist alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),salvadoran president alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),salvadoran president alfredo felex cristiani,0.19
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),salvadoran president-elect alfredo cristiani,1.00
salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),salvdoran president alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,mr alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,president alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,president alfredo cristiano,0.16
salvadoran president alfredo felex cristiani,president-elect alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,rightist alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,salvadoran president alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
salvadoran president alfredo felex cristiani,salvadoran president-elect alfredo cristiani,1.00
salvadoran president alfredo felex cristiani,salvdoran president alfredo cristiani,1.00
salvadoran president cristiani,mr cristiani,1.00
salvadoran president cristiani,mr. cristiani,1.00
salvadoran president cristiani,president cristiani,1.00
salvadoran president cristiani,president-elect cristiani,1.00
salvadoran president cristiani,pressure president cristiani,1.00
salvadoran president cristiani,the magnificent job president cristiani,1.00
salvadoran president jose napoleon duarte,christian democrat jose napoleon duarte,1.00
salvadoran president jose napoleon duarte,christian democratic president jose napoleon duarte,1.00
salvadoran president jose napoleon duarte,former president jose napoleon duarte,1.00
salvadoran president jose napoleon duarte,president jose napoleon duarte,1.00
salvadoran president-elect alfredo cristiani,mr alfredo cristiani,1.00
salvadoran president-elect alfredo cristiani,president alfredo cristiani,1.00
salvadoran president-elect alfredo cristiani,president alfredo cristiano,0.03
salvadoran president-elect alfredo cristiani,president-elect alfredo cristiani,1.00
salvadoran president-elect alfredo cristiani,rightist alfredo cristiani,1.00
salvadoran president-elect alfredo cristiani,salvadoran president alfredo cristiani,1.00
salvadoran president-elect alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
salvadoran president-elect alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
salvadoran president-elect alfredo cristiani,salvdoran president alfredo cristiani,1.00
salvadoran social democratic leader hector oqueli,dr. hector oqueli,1.00
salvadoran social democratic leader hector oqueli,leftist salvadoran leader hector oqueli,1.00
salvadoran social democratic leader hector oqueli,mnr leader hector oqueli,1.00
salvadoran social democratic leader hector oqueli,salvadoran leftist leader hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,salvadoran opposition leader hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,salvadoran political leader hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,salvadoran social democratic leader hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,salvadoran social democratic politician hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,secretary general hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,social democratic leader hector oqueli,1.00
salvadoran social democratic leader hector oqueli,social democratic leader hector oqueli colindres,0.25
salvadoran social democratic leader hector oqueli,the salvadoran political leader hector oqueli,1.00
salvadoran social democratic leader hector oqueli colindres,dr. hector oqueli,0.21
salvadoran social democratic leader hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
salvadoran social democratic leader hector oqueli colindres,mnr leader hector oqueli,0.21
salvadoran social democratic leader hector oqueli colindres,salvadoran leftist leader hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,salvadoran opposition leader hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,salvadoran political leader hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
salvadoran social democratic leader hector oqueli colindres,salvadoran social democratic politician hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,secretary general hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,social democratic leader hector oqueli,0.21
salvadoran social democratic leader hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
salvadoran social democratic leader hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,dr. hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,mnr leader hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,salvadoran leftist leader hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,salvadoran opposition leader hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,salvadoran political leader hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,salvadoran social democratic leader hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,secretary general hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,social democratic leader hector oqueli,0.21
salvadoran social democratic politician hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
salvadoran social democratic politician hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
salvadoran vice president francisco merino,interior minister francisco merino,1.00
salvadoran vice president francisco merino,salvadoran vice president francisco merino lopez,0.16
salvadoran vice president francisco merino,vice president francisco merino,1.00
salvadoran vice president francisco merino,vice president-elect francisco merino,1.00
salvadoran vice president francisco merino lopez,interior minister francisco merino,1.00
salvadoran vice president francisco merino lopez,salvadoran vice president francisco merino,1.00
salvadoran vice president francisco merino lopez,vice president francisco merino,1.00
salvadoran vice president francisco merino lopez,vice president-elect francisco merino,1.00
salvdoran president alfredo cristiani,mr alfredo cristiani,1.00
salvdoran president alfredo cristiani,president alfredo cristiani,1.00
salvdoran president alfredo cristiani,president alfredo cristiano,0.03
salvdoran president alfredo cristiani,president-elect alfredo cristiani,1.00
salvdoran president alfredo cristiani,rightist alfredo cristiani,1.00
salvdoran president alfredo cristiani,salvadoran president alfredo cristiani,1.00
salvdoran president alfredo cristiani,salvadoran president alfredo cristiani of the right-wing nationalist republican alliance (arena),1.00
salvdoran president alfredo cristiani,salvadoran president alfredo felex cristiani,0.19
salvdoran president alfredo cristiani,salvadoran president-elect alfredo cristiani,1.00
secretary carlos romero,president carlos humberto romero,1.00
secretary genaro marquez,secretary genaro marquez explaints,1.00
secretary genaro marquez explaints,secretary genaro marquez,1.00
secretary general baena soares,oas secretary general clemente baena soares,1.00
secretary general baena soares,oas secretary general joao baena soares,1.00
secretary general baena soares,oas secretary general joao clemente baena soares,1.00
secretary general guillermo ungo,doctor guillermo ungo,1.00
secretary general hector oqueli colindres,dr. hector oqueli,0.21
secretary general hector oqueli colindres,leftist salvadoran leader hector oqueli,0.21
secretary general hector oqueli colindres,mnr leader hector oqueli,0.21
secretary general hector oqueli colindres,salvadoran leftist leader hector oqueli colindres,1.00
secretary general hector oqueli colindres,salvadoran opposition leader hector oqueli colindres,1.00
secretary general hector oqueli colindres,salvadoran political leader hector oqueli colindres,1.00
secretary general hector oqueli colindres,salvadoran social democratic leader hector oqueli,0.21
secretary general hector oqueli colindres,salvadoran social democratic leader hector oqueli colindres,1.00
secretary general hector oqueli colindres,salvadoran social democratic politician hector oqueli colindres,1.00
secretary general hector oqueli colindres,social democratic leader hector oqueli,0.21
secretary general hector oqueli colindres,social democratic leader hector oqueli colindres,1.00
secretary general hector oqueli colindres,the salvadoran political leader hector oqueli,0.21
secretary general juan manuel palacios,deputy foreign minister juan manuel castulovich,0.15
secretary general luiz alva castro,former prime minister luis alva castro,1.00
secretary general luiz alva castro,new apra leader luis alva castro,1.00
secretary general luiz alva castro,sergeant luis castro guisado,0.12
secretary general mario solorzano,social democratic party leader mario solorzano,1.00
secretary general orlando morales,commander orlando morales,1.00
secretary general ruben zamora,democratic convergence leader ruben zamora,1.00
secretary walter costas badani,deputy interior minister walter costas,1.00
senator alvaro leyva,conservative senator alvaro leyva,1.00
senator estrada velez,liberal leader federico estrada velez,1.00
senator estrada velez,liberal senator federico estrada velez,1.00
senator estrada velez,senator federico estrada velez,1.00
senator federico estrada velez,liberal leader federico estrada velez,1.00
senator federico estrada velez,liberal senator federico estrada velez,1.00
senator federico estrada velez,senator estrada velez,0.21
senator galan,political leader galan,1.00
senator luis alberto sanchez,prime minister luis alberto sanchez,1.00
senator luis carlos galan,candidate senator luis carlos galan,1.00
senator luis carlos galan,colombian liberal party candidate luis carlos galan,1.00
senator luis carlos galan,colombian political leader luis carlos galan,1.00
senator luis carlos galan,liberal leader luis carlos galan,1.00
senator luis carlos galan,liberal party leader luis carlos galan,1.00
senator luis carlos galan,liberal party leader luis carlos galan sarmiento,0.25
senator luis carlos galan,liberal presidential candidate luis carlos galan,1.00
senator luis carlos galan,liberal presidential candidate luis carlos galan sarmiento,0.25
senator luis carlos galan,senator luis carlos galan sarmiento,0.25
senator luis carlos galan sarmiento,candidate senator luis carlos galan,0.20
senator luis carlos galan sarmiento,colombian liberal party candidate luis carlos galan,0.20
senator luis carlos galan sarmiento,colombian political leader luis carlos galan,0.20
senator luis carlos galan sarmiento,liberal leader luis carlos galan,0.20
senator luis carlos galan sarmiento,liberal party leader luis carlos galan,0.20
senator luis carlos galan sarmiento,liberal party leader luis carlos galan sarmiento,1.00
senator luis carlos galan sarmiento,liberal presidential candidate luis carlos galan,0.20
senator luis carlos galan sarmiento,liberal presidential candidate luis carlos galan sarmiento,1.00
senator luis carlos galan sarmiento,senator luis carlos galan,0.20
senator samper pisano,liberal senator samper pizano,0.67
sergeant luis castro guisado,secretary general luiz alva castro,0.70
sergeant martinez of the fire department,commander martinez,1.00
sergeant martinez of the fire department,dictator martinez,1.00
social conservative president belisario betancur,former colombian president belisario betancur,1.00
social democratic leader hector oqueli,dr. hector oqueli,1.00
social democratic leader hector oqueli,leftist salvadoran leader hector oqueli,1.00
social democratic leader hector oqueli,mnr leader hector oqueli,1.00
social democratic leader hector oqueli,salvadoran leftist leader hector oqueli colindres,0.25
social democratic leader hector oqueli,salvadoran opposition leader hector oqueli colindres,0.25
social democratic leader hector oqueli,salvadoran political leader hector oqueli colindres,0.25
social democratic leader hector oqueli,salvadoran social democratic leader hector oqueli,1.00
social democratic leader hector oqueli,salvadoran social democratic leader hector oqueli colindres,0.25
social democratic leader hector oqueli,salvadoran social democratic politician hector oqueli colindres,0.25
social democratic leader hector oqueli,secretary general hector oqueli colindres,0.25
social democratic leader hector oqueli,social democratic leader hector oqueli colindres,0.25
social democratic leader hector oqueli,the salvadoran political leader hector oqueli,1.00
social democratic leader hector oqueli colindres,dr. hector oqueli,0.21
